ID,Category,Name,Sub Category
1,Experience,Arbeitssicherheit,Berufserfahrung
2,Experience,Arbeitsvorbereitung,Berufserfahrung
3,Experience,Arzthelferin,Berufserfahrung
4,Experience,Assistenz,Berufserfahrung
5,Experience,Automobilbereich / Fahrzeugbau,Berufserfahrung
6,Experience,Bauleitung,Berufserfahrung
7,Experience,Bauwesen,Berufserfahrung
8,Experience,Berechnung von Statik,Berufserfahrung
9,Experience,Berufserfahrung,Berufserfahrung
10,Experience,Change Management,Berufserfahrung
11,Experience,Configuration Management,Berufserfahrung
12,Experience,Controlling,Berufserfahrung
13,Experience,Design Engineer,Berufserfahrung
14,Experience,Disposition / Materialbeschaffung,Berufserfahrung
15,Experience,Einkauf,Berufserfahrung
16,Experience,Elektrik,Berufserfahrung
17,Experience,Elektrotechnik/Elektronik,Berufserfahrung
18,Experience,Engineering,Berufserfahrung
19,Experience,Entwicklung,Berufserfahrung
20,Experience,Erwachsenenbildung,Berufserfahrung
21,Experience,Fatigue und Schadenstoleranz,Berufserfahrung
22,Experience,Feinmechanik,Berufserfahrung
23,Experience,Fertigung / Produktion,Berufserfahrung
24,Experience,Fertigungsplanung/-steuerung,Berufserfahrung
25,Experience,Finanzwesen,Berufserfahrung
26,Experience,Flugzeugbau,Berufserfahrung
27,Experience,Forschung und Entwicklung,Berufserfahrung
28,Experience,Führungserfahrung,Berufserfahrung
29,Experience,Galvaniseur/in / Oberflächenbeschichter/in,Berufserfahrung
30,Experience,Gesundheitswesen,Berufserfahrung
31,Experience,"Heizungs-, Lüftungs- und Klimatechnik",Berufserfahrung
32,Experience,HR-Business Partner,Berufserfahrung
33,Experience,Hubschraubermechaniker,Berufserfahrung
34,Experience,Industriedesign,Berufserfahrung
35,Experience,Industriemechanik,Berufserfahrung
36,Experience,Innenarchitektur / Interior Design,Berufserfahrung
37,Experience,Instandhaltung,Berufserfahrung
38,Experience,Interface Management,Berufserfahrung
39,Experience,Interviewführung,Berufserfahrung
40,Experience,IT / Informationssysteme,Berufserfahrung
41,Experience,Jigs & Tools,Berufserfahrung
42,Experience,Kaufmännischer Sachbearbeiter,Berufserfahrung
43,Experience,Konstruktion,Berufserfahrung
44,Experience,Krankenhaus,Berufserfahrung
45,Experience,Kreditorenbuchhaltung,Berufserfahrung
46,Experience,Küchenbauer,Berufserfahrung
47,Experience,Kundenservice/ Customer Service,Berufserfahrung
48,Experience,Kunststoff- und Kautschuktechnik,Berufserfahrung
49,Experience,Laborarbeiten/ Labortechnik,Berufserfahrung
50,Experience,Lackierer,Berufserfahrung
51,Experience,Lagerlogistik,Berufserfahrung
52,Experience,Lieferantenmanagement,Berufserfahrung
53,Experience,Line Side Support,Berufserfahrung
54,Experience,Logistics,Berufserfahrung
55,Experience,Lohn- und Gehaltsabrechnung,Berufserfahrung
56,Experience,Luft- und Raumfahrt,Berufserfahrung
57,Experience,Maler,Berufserfahrung
58,Experience,Manufacturing Engineering,Berufserfahrung
59,Experience,Marketing,Berufserfahrung
60,Experience,Mechanik,Berufserfahrung
61,Experience,Mechanik in der Luftfahrt,Berufserfahrung
62,Experience,Mechatronik,Berufserfahrung
63,Experience,Messtechnik,Berufserfahrung
64,Experience,Operative und strategische Beschaffung,Berufserfahrung
65,Experience,Personalsachbearbeitung,Berufserfahrung
66,Experience,Personalwesen,Berufserfahrung
67,Experience,Produktentwicklung,Berufserfahrung
68,Experience,Produktionsplanung und -steuerung,Berufserfahrung
69,Experience,Projektleitung,Berufserfahrung
70,Experience,Projektmanagement,Berufserfahrung
71,Experience,Prozessplanung,Berufserfahrung
72,Experience,Prozessverbesserung,Berufserfahrung
73,Experience,Public Relations/ Kommunikationsmanagement,Berufserfahrung
74,Experience,Qualitätsmanagement,Berufserfahrung
75,Experience,Qualitätssicherung,Berufserfahrung
76,Experience,Raumfahrt,Berufserfahrung
77,Experience,Rechtswesen,Berufserfahrung
78,Experience,Sachbearbeitung Lieferantenmanagement,Berufserfahrung
79,Experience,Schlosser,Berufserfahrung
80,Experience,Sekretariat/Assistenz,Berufserfahrung
81,Experience,Stress-Ingenieur,Berufserfahrung
82,Experience,Strukturmechanik (Metall) bei Airbus Operations,Berufserfahrung
83,Experience,Strukturmontage,Berufserfahrung
84,Experience,Supply Chain,Berufserfahrung
85,Experience,Supply Chain / Logistics,Berufserfahrung
86,Experience,technische Dokumentation,Berufserfahrung
87,Experience,Technischer Sachbearbeiter,Berufserfahrung
88,Experience,Vertragsmanagement,Berufserfahrung
89,Experience,Vertrieb,Berufserfahrung
90,Experience,Wartung /Instandhaltung,Berufserfahrung
91,Experience,Werkstoffprüfung,Berufserfahrung
92,Education,"Anlagenmechaniker – Sanitär, Heizungs- und Klimatechnik",gewerbliche Ausbildung
93,Education,Bootsbauer,gewerbliche Ausbildung
94,Education,Dreher/in / Fräser/in,gewerbliche Ausbildung
95,Education,Elektriker/in,gewerbliche Ausbildung
96,Education,Elektroniker/in für luftfahrttechnische Systeme (Fluggerätelektroniker/in),gewerbliche Ausbildung
97,Education,Fahrzeuglackierer/in,gewerbliche Ausbildung
98,Education,Feinmechaniker/in,gewerbliche Ausbildung
99,Education,Fluggerätmechaniker/in,gewerbliche Ausbildung
100,Education,Fluggerätmechaniker/in FR Fertigungstechnik,gewerbliche Ausbildung
101,Education,Fluggerätmechaniker/in FR Instandhaltungstechnik,gewerbliche Ausbildung
102,Education,Fluggerätmechaniker/in FR Triebwerktechnik,gewerbliche Ausbildung
103,Education,Flugzeugbauer/in,gewerbliche Ausbildung
104,Education,Galvaniseur/in Oberflächenbeschichter/in,gewerbliche Ausbildung
105,Education,gewerbliche Ausbildung,gewerbliche Ausbildung
106,Education,handwerklicher Beruf,gewerbliche Ausbildung
107,Education,holzverarbeitender Beruf,gewerbliche Ausbildung
108,Education,Industriemechaniker/in,gewerbliche Ausbildung
109,Education,KFZ-Mechaniker/in,gewerbliche Ausbildung
110,Education,KFZ-Mechatroniker/in,gewerbliche Ausbildung
111,Education,Logistikfachkraft,gewerbliche Ausbildung
112,Education,Maler/Lackierer/in,gewerbliche Ausbildung
113,Education,Maschinenschlosser/in,gewerbliche Ausbildung
114,Education,Mechaniker/in,gewerbliche Ausbildung
115,Education,Mechatroniker/in,gewerbliche Ausbildung
116,Education,Metallbauer/in /Karosseriebauer/in,gewerbliche Ausbildung
117,Education,metallverarbeitender Beruf,gewerbliche Ausbildung
118,Education,Sanitär- und Heizungstechnik,gewerbliche Ausbildung
119,Education,Sattler/in,gewerbliche Ausbildung
120,Education,"Schlosser/in (Bau-, Maschinenschlosser)",gewerbliche Ausbildung
121,Education,Siebdruck/in,gewerbliche Ausbildung
122,Education,Spengler/in,gewerbliche Ausbildung
123,Education,Tischler/in,gewerbliche Ausbildung
124,Education,Verfahrensmechaniker/in für Beschichtungstechnik,gewerbliche Ausbildung
125,Education,Verfahrensmechaniker/in für Kunststoff u. Kautschuk,gewerbliche Ausbildung
126,Education,Werkstoffprüfer/in,gewerbliche Ausbildung
127,Education,Werkzeugmacher/in,gewerbliche Ausbildung
128,Education,Zerspanungsmechaniker/in,gewerbliche Ausbildung
129,Education,Zimmermann,gewerbliche Ausbildung
130,Education,Buchhalter/in,kaufmännische Ausbildung
131,Education,Finanzbuchalter/in,kaufmännische Ausbildung
132,Education,Groß- und Außenhandelskaufmann/frau,kaufmännische Ausbildung
133,Education,Industriekaufmann/frau,kaufmännische Ausbildung
